iter	Passed	Remaining
0	57	57763
1	58	29031
2	58	19481
3	58	14684
4	59	11808
5	59	9883
6	59	8507
7	60	7477
8	60	6676
9	60	6034
10	61	5528
11	61	5095
12	62	4726
13	62	4408
14	62	4135
15	63	3895
16	63	3684
17	64	3496
18	64	3325
19	64	3172
20	65	3043
21	65	2917
22	65	2802
23	66	2697
24	66	2597
25	66	2507
26	67	2425
27	67	2345
28	68	2279
29	68	2219
30	68	2153
31	69	2093
32	69	2037
33	69	1983
34	70	1938
35	70	1890
36	70	1845
37	71	1808
38	71	1768
39	72	1729
40	72	1693
41	72	1658
42	73	1629
43	73	1597
44	73	1566
45	74	1538
46	74	1509
47	74	1482
48	75	1455
49	75	1429
50	75	1406
51	75	1382
52	76	1360
53	76	1342
54	76	1321
55	77	1302
56	77	1286
57	78	1267
58	78	1252
59	78	1234
60	79	1220
61	79	1203
62	80	1191
63	80	1179
64	80	1163
65	81	1149
66	81	1134
67	81	1121
68	82	1107
69	82	1094
70	82	1080
71	83	1071
72	83	1059
73	83	1049
74	84	1038
75	84	1026
76	84	1015
77	85	1005
78	85	995
79	85	987
80	86	977
81	86	968
82	86	960
83	87	952
84	87	941
85	87	935
86	88	926
87	88	918
88	88	910
89	89	902
90	89	893
91	89	886
92	90	878
93	90	870
94	90	862
95	91	857
96	91	850
97	91	842
98	91	836
99	92	829
100	92	824
101	92	816
102	93	810
103	93	804
104	93	798
105	94	794
106	94	790
107	95	784
108	95	778
109	95	775
110	96	769
111	96	764
112	96	759
113	97	755
114	97	752
115	97	746
116	98	741
117	98	736
118	98	731
119	99	728
120	99	723
121	99	719
122	100	713
123	100	708
124	100	703
125	100	699
126	101	694
127	101	689
128	101	685
129	101	681
130	102	678
131	102	674
132	103	672
133	103	668
134	103	664
135	104	660
136	104	658
137	104	655
138	105	652
139	105	649
140	105	645
141	106	641
142	106	640
143	107	636
144	107	633
145	107	629
146	107	626
147	108	622
148	108	619
149	108	617
150	109	614
151	109	611
152	109	607
153	109	604
154	110	600
155	110	597
156	110	594
157	110	590
158	111	587
159	111	584
160	111	581
161	111	578
162	112	575
163	112	572
164	112	569
165	112	566
166	113	563
167	113	561
168	113	558
169	113	555
170	113	552
171	114	549
172	114	547
173	114	544
174	114	541
175	115	539
176	115	536
177	115	533
178	115	531
179	116	528
180	116	525
181	116	523
182	116	521
183	116	518
184	117	516
185	117	513
186	117	511
187	117	509
188	118	506
189	118	504
190	118	502
191	118	500
192	119	497
193	119	495
194	119	493
195	119	491
196	119	489
197	120	486
198	120	484
199	120	482
200	120	480
201	121	478
202	121	476
203	121	474
204	121	472
205	122	470
206	122	468
207	122	466
208	122	464
209	123	462
210	123	460
211	123	458
212	123	456
213	123	455
214	124	453
215	124	451
216	124	449
217	124	447
218	125	446
219	125	444
220	125	442
221	125	441
222	126	439
223	126	437
224	126	436
225	126	434
226	127	432
227	127	431
228	127	429
229	127	427
230	128	426
231	128	424
232	128	422
233	128	421
234	128	419
235	129	418
236	129	416
237	129	415
238	129	413
239	130	412
240	130	410
241	130	409
242	130	407
243	131	406
244	131	404
245	131	403
246	131	401
247	132	400
248	132	398
249	132	397
250	132	396
251	133	394
252	133	393
253	133	392
254	133	390
255	133	389
256	134	387
257	134	386
258	134	385
259	134	383
260	135	382
261	135	381
262	135	380
263	135	378
264	136	377
265	136	376
266	136	374
267	136	373
268	137	372
269	137	371
270	137	369
271	137	368
272	137	367
273	138	366
274	138	365
275	138	363
276	138	362
277	139	361
278	139	360
279	139	359
280	139	357
281	140	356
282	140	355
283	140	354
284	140	353
285	141	352
286	141	350
287	141	349
288	141	348
289	141	347
290	142	346
291	142	345
292	142	344
293	142	343
294	143	342
295	143	340
296	143	339
297	143	338
298	144	337
299	144	336
300	144	335
301	144	334
302	145	333
303	145	332
304	145	331
305	145	330
306	146	329
307	146	328
308	146	327
309	146	326
310	146	325
311	147	324
312	147	323
313	147	322
314	147	321
315	148	320
316	148	319
317	148	318
318	148	317
319	149	316
320	149	316
