iter	Passed	Remaining
0	0	420
1	0	348
2	0	327
3	1	313
4	1	298
5	1	294
6	2	302
7	2	310
8	2	312
9	3	305
10	3	298
11	3	296
12	3	291
13	4	287
14	4	283
15	4	283
16	4	284
17	5	283
18	5	281
19	5	284
20	6	282
21	6	283
22	6	281
23	6	280
24	7	278
25	7	277
26	7	275
27	7	274
28	8	272
29	8	271
30	8	269
31	8	268
32	9	267
33	9	266
34	9	264
35	9	263
36	10	262
37	10	262
38	10	261
39	10	261
40	11	259
41	11	258
42	11	257
43	11	256
44	12	255
45	12	254
46	12	254
47	12	254
48	13	253
49	13	252
50	13	251
51	13	250
52	14	250
53	14	250
54	14	249
55	14	248
56	14	247
57	15	247
58	15	246
59	15	246
60	15	246
61	16	245
62	16	244
63	16	244
64	16	243
65	17	243
66	17	243
67	17	242
68	17	242
69	18	241
70	18	240
71	18	240
72	18	240
73	19	239
74	19	239
75	19	238
76	19	238
77	20	237
78	20	237
79	20	236
80	20	236
81	21	235
82	21	233
83	21	233
84	21	232
85	21	232
86	22	232
87	22	231
88	22	231
89	22	230
90	23	230
91	23	229
92	23	229
93	23	229
94	24	228
95	24	228
96	24	228
97	24	227
98	24	227
99	25	227
100	25	226
101	25	226
102	25	226
103	26	225
104	26	225
105	26	224
106	26	224
107	27	224
108	27	223
109	27	223
110	27	223
111	28	223
112	28	222
113	28	222
114	28	222
115	29	221
116	29	221
117	29	220
118	29	220
119	29	219
120	30	219
121	30	218
122	30	218
123	30	218
124	31	217
125	31	217
126	31	216
127	31	216
128	32	216
129	32	216
130	32	215
131	32	215
132	32	215
133	33	214
134	33	214
135	33	214
136	33	214
137	34	213
138	34	213
139	34	213
140	34	212
141	35	211
142	35	211
143	35	211
144	35	211
145	36	210
146	36	210
147	36	210
148	36	209
149	36	209
150	37	209
151	37	209
152	37	208
153	37	208
154	38	208
155	38	208
156	38	207
157	38	207
158	39	207
159	39	206
160	39	206
161	39	205
162	40	205
163	40	205
164	40	204
165	40	204
166	40	204
167	41	204
168	41	203
169	41	203
170	41	203
171	42	202
172	42	202
173	42	202
174	42	202
175	43	201
176	43	201
177	43	201
178	43	200
179	44	200
180	44	200
181	44	200
182	44	200
183	45	199
184	45	199
185	45	199
186	45	199
187	46	198
188	46	198
189	46	198
190	46	197
191	46	197
192	47	197
193	47	197
194	47	196
195	47	196
196	48	196
197	48	196
198	48	195
199	48	195
200	49	195
201	49	194
202	49	194
203	49	194
204	50	194
205	50	193
206	50	193
207	50	193
208	51	193
209	51	192
210	51	192
211	51	192
212	52	192
213	52	191
214	52	191
215	52	191
216	52	191
217	53	190
218	53	190
219	53	190
220	53	190
221	54	189
222	54	189
223	54	189
224	54	189
225	55	189
226	55	188
227	55	188
228	55	188
229	56	188
230	56	187
231	56	187
232	56	187
233	57	187
234	57	186
235	57	186
236	57	186
237	58	186
238	58	185
239	58	185
240	58	185
241	59	185
242	59	184
243	59	184
244	59	184
245	60	184
246	60	183
247	60	183
248	60	183
249	61	183
250	61	182
251	61	182
252	61	182
253	62	182
254	62	181
255	62	181
256	62	181
257	62	181
258	63	180
259	63	180
260	63	180
261	63	180
262	64	179
263	64	179
264	64	179
265	64	178
266	65	178
267	65	178
268	65	178
269	65	177
270	66	177
271	66	177
272	66	176
273	66	176
274	66	176
275	67	176
276	67	175
277	67	175
278	67	175
279	68	175
280	68	174
281	68	174
282	68	174
283	69	174
284	69	173
285	69	173
286	69	173
287	70	173
288	70	172
289	70	172
290	70	172
291	70	172
292	71	171
293	71	171
294	71	171
295	72	171
296	72	170
297	72	170
298	72	170
299	72	170
300	73	170
301	73	169
302	73	169
303	73	169
304	74	169
305	74	168
306	74	168
307	74	168
308	75	168
309	75	167
310	75	167
311	75	167
312	76	167
313	76	166
314	76	166
315	76	166
316	77	166
317	77	165
318	77	165
319	77	165
320	78	165
321	78	164
322	78	164
323	78	164
324	78	164
325	79	163
326	79	163
327	79	163
328	79	163
329	80	162
330	80	162
331	80	162
332	80	162
333	81	161
334	81	161
335	81	161
336	81	161
337	82	160
338	82	160
339	82	160
340	82	160
341	83	159
342	83	159
343	83	159
344	83	159
345	84	158
346	84	158
347	84	158
348	84	157
349	84	157
350	85	157
351	85	157
352	85	156
353	85	156
354	86	156
355	86	156
356	86	155
357	86	155
